Grupės pav.,Amžiaus grupė,Grupių sk.,Vietų sk.,Laisvos vietos,Mokslo metai
",,Varliukų""",lopšelio,-,15,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Svirnelis“,10,199,0,-,
Kauno Tirkiliškių lopšelis-darželis,,,,,
",,Dobiliukai""",lopšelio,-,16,0,2015-2016
",,Želmenėliai""",darželio,-,24,0,2015-2016
",,Ąžuoliukai""",darželio,-,25,0,2015-2016
",,Lineliai""",darželio,-,25,0,2015-2016
",,Obelėlės""",priešmokyklinė,-,25,0,2015-2016
",,Rūtelės""",priešmokyklinė,-,25,0,2015-2016
Iš viso: Kauno Tirkiliškių lopšelis-darželis,6,140,0,-,
Kauno lopšelis-darželis „Drevinukas“,,,,,
Giliukai,priešmokyklinė,-,20,0,2015-2016
Geniukai,priešmokyklinė,-,20,0,2015-2016
Nykštukai,lopšelio,-,15,0,2015-2016
Kiškučiai,lopšelio,-,15,0,2015-2016
Ežiukai,darželio,-,20,0,2015-2016
Žiogeliai,darželio,-,20,0,2015-2016
Boružėlės,darželio,-,20,0,2015-2016
Riešutėliai,darželio,-,20,0,2015-2016
Skruzdėlytės,darželio,-,20,0,2015-2016
Pelėdžiukai,darželio,-,20,0,2015-2016
Iš viso: Kauno lopšelis-darželis „Drevinukas“,10,190,0,-,
Kauno lopšelis-darželis „Spindulys“,,,,,
„EŽIUKAI“,lopšelio,-,15,0,2015-2016
„BORUŽĖLĖS“,lopšelio,-,15,0,2015-2016
„MIŠKO PAUKŠTELIAI“,darželio,-,20,0,2015-2016
„GANDRIUKAI“,darželio,-,20,0,2015-2016
„VOVERIUKAI“,darželio,-,20,0,2015-2016
